Disease,Description,Recommended Diet
Flea Allergies,"Flea allergy dermatitis is an immunologic disease caused by the injection of antigens from the salivary glands of fleas as they feed on the host animal. Flea allergy dermatitis (FAD) or flea bite hypersensitivity is the most common dermatologic disease of domestic dogs in the US.",All-natural unadulterated food, grain/gluten/preservative free food.
Food Allergies,"Ten percent of all allergy cases in dogs are food allergies. Dogs also can suffer from food intolerance, which is different from a food allergy. It’s a genetic problem, and when it’s triggered, it’s by exposure to whatever they’re allergic to. The most common allergens are beef, dairy, wheat, egg, chicken, lamb, soy, pork, rabbit, and fish. And, most dogs are usually allergic to more than one thing.",All-natural unadulterated food, grain/gluten/preservative free food.
Skin Allergies,"Skin allergies are also referred to as allergic dermatitis, and they are the most common types of allergies in dogs. Your pup may be allergic to any number of irritants that are causing him or her to itch, scratch, and become generally uncomfortable.",All-natural unadulterated food, grain/gluten/preservative free food.
Arthritis,"Arthritis is an inflammation of the joints and is a common problem for many dogs, causing pain, discomfort, and stiffness. In dogs with arthritis, cartilage within a joint (hip, elbow, etc.) changes or becomes damaged, making it less smooth and causing the bones in the joint to rub together.",Diet rich in omega-3 fatty acids, especially EPA and DHA. Glucosamine supplement can be added to the diet.
Bladder Stones,"Bladder stones (uroliths or cystic calculi) are rock-like formations of minerals that develop in the urinary bladder. There may be a large, single stone or a collection of stones that range in size from sand-like grains to gravel. It is common for a mixture of both small and large stones to be present.",Avoid foods with high levels of oxalate such as spinach," sweet potatoes,  organ meat, and brown rice. Instead include foods with lower oxalate levels like apples (peeled)"
Bloating,"Bloat happens when a dog's stomach fills with gas, food, or fluid, making it expand. The stomach puts pressure on other organs. It can cause dangerous problems, including decreased blood flow to their heart and stomach lining, a tear in the wall of their stomach, a harder time breathing.",All-natural unadulterated food, grain/gluten/preservative free food.
Bone Cancer,"Bone Cancer or Hemangiosarcomas are malignant tumors derived from the cells lining blood vessels (hem = blood, angio = vessel, sarcoma = tumor). Hemangiosarcoma is a common cancer in dogs accounting for approximately 5% of cases. Since blood vessels run throughout the body, hemangiosarcomas can develop anywhere.",Foods of interest in dogs with cancer include high-quality protein such as dairy products made from goat or sheep," egg,  low-mercury fish, organ and muscle meat preferably natural raised. Healthy,  low glycemic (GI) carbohydrates such as sweet potato,  broccoli,  quinoa,  and gluten-free oats."
Bronchitis,"Canine chronic bronchitis is characterized by daily coughing that lasts longer than one month. A cough may be mistaken for the sound of vomiting and is often followed by retching and wheezing. Dogs may also display lethargic behavior as a result of excessive mucus build-up causing airway obstruction.",All-natural unadulterated food, grain/gluten/preservative free food. Corticosteroids are the primary medication used to treat canine chronic bronchitis.
Cysts,"Cysts are hollow spaces within tissues that contain either liquid or solidified materials; the contents may be made up of natural bodily secretions (e.g., sebum – the oily waxy substance secreted by the sebaceous glands – or sweat) or abnormal breakdown products such as dead cells or keratin.",Nutritious diet including lean proteins," fruits,  and vegetables for antioxidant powers, and probiotics such as yogurt,  along with clean,  fresh water at regular intervals."
Distemper,"Distemper is a highly contagious viral disease of domestic dogs and other animals such as ferrets, skunks, and raccoons. It is an incurable, often fatal, multisystemic (affecting multiple organs) disease that affects the respiratory, gastrointestinal, and central nervous systems.",If your dog will not eat its regular dry food," try feeding your dog softer, canned food or baby food (particularly meats). If the dog is vomiting do not feed him. Rehydrate your pet with a syringe."
