breed,temperament,group,shedding_category,grooming_frequency_category,energy_level_category,trainability_category,demeanor_category
Affenpinscher,"Confident, Famously Funny, Fearless",Toy Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Easy Training,Outgoing
Afghan Hound,"Dignified, Profoundly Loyal, Aristocratic",Hound Group,Infrequent,Daily Brushing,Energetic,May be Stubborn,Aloof/Wary
Airedale Terrier,"Friendly, Clever, Courageous",Terrier Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Friendly
Akita,"Courageous, Dignified, Profoundly Loyal",Working Group,Seasonal,Daily Brushing,Energetic,Eager to Please,Alert/Responsive
Alaskan Malamute,"Affectionate, Loyal, Playful",Working Group,Seasonal,2-3 Times a Week Brushing,Energetic,Independent,Friendly
American Bulldog,"Loyal, Self-Confident",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
American English Coonhound,"Sweet, Mellow, Sociable",Hound Group,Occasional,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
American Eskimo Dog,"Playful, Perky, Smart",Non-Sporting Group,Seasonal,Weekly Brushing,Energetic,Eager to Please,Outgoing
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",Hound Group,Seasonal,Occasional Bath/Brush,Energetic,Independent,Friendly
American Hairless Terrier,"Energetic, Alert, Curious",Terrier Group,,,,,
American Leopard Hound,"Sociable, Energetic, Intelligent",Foundation Stock Service,Seasonal,Weekly Brushing,Energetic,Eager to Please,Alert/Responsive
American Staffordshire Terrier,"Confident, Smart, Good-Natured",Terrier Group,Occasional,Occasional Bath/Brush,Regular Exercise,Agreeable,Alert/Responsive
American Water Spaniel,"Eager, Happy, Charming",Sporting Group,Infrequent,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Friendly
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",Working Group,Seasonal,Weekly Brushing,Regular Exercise,Independent,Reserved with Strangers
Appenzeller Sennenhund,"Agile, Versatile, Lively",Foundation Stock Service,Regularly,Weekly Brushing,Needs Lots of Activity,May be Stubborn,Reserved with Strangers
Australian Cattle Dog,"Alert, Curious, Pleasant",Herding Group,Regularly,Occasional Bath/Brush,Needs Lots of Activity,May be Stubborn,Reserved with Strangers
Australian Kelpie,"Loyal, Alert, Intelligent",Foundation Stock Service,Regularly,Weekly Brushing,Energetic,Eager to Please,Alert/Responsive
